customer_id,issue_date,age,gender,marital_status,dependents,education_level,employment_status,annual_income,credit_score,loan_amount,term_months,interest_rate_pct,loan_purpose,home_ownership,default_12m
67,2023-04-24,41,Female,Single,0.0,Lehre/AHS,Employed,28916.53,729,5493.52,36,4.85,Furniture/Appliances,Mortgage,0
68,2024-11-21,29,Female,Married,1.0,Universität/FH,Employed,51736.21,612,3294.25,48,10.05,Other,Rent,0
69,2023-03-07,87,Female,Single,0.0,Universität/FH,Retired,27950.57,756,14783.87,48,4.02,Home improvement,Rent,0
70,2025-04-29,22,Female,Widowed,0.0,Lehre/AHS,Retired,26291.6,695,23289.77,60,7.35,Home improvement,Own,0
71,2024-10-29,37,Female,Divorced,1.0,Lehre/AHS,Employed,48082.22,746,12565.08,48,4.9,Other,Mortgage,0
72,2023-06-02,55,Female,Single,0.0,Lehre/AHS,Employed,31644.48,716,3421.8,48,5.73,Other,Mortgage,0
73,2023-01-05,38,Female,Married,1.0,Universität/FH,Employed,45831.49,654,2597.03,48,6.83,Other,Mortgage,0
74,2024-12-03,21,Male,Single,0.0,Lehre/AHS,Student,4231.04,570,9042.11,48,13.91,Car,Rent,0
75,2024-09-18,71,Female,Divorced,1.0,Lehre/AHS,Retired,17499.96,641,12958.77,60,11.9,Home improvement,Own,0
76,2024-10-02,43,Male,Married,1.0,Lehre/AHS,Employed,54226.92,605,7634.55,24,12.7,Other,Rent,0
77,2024-10-29,52,Male,Single,0.0,Universität/FH,Employed,49433.12,617,18597.09,60,11.34,Home improvement,Mortgage,0
78,2023-03-07,30,Male,Single,0.0,Lehre/AHS,Employed,93070.8,705,10201.43,60,4.98,Home improvement,Own,0
79,2023-11-02,44,Male,Single,0.0,Lehre/AHS,Employed,70075.55,685,21815.95,72,6.54,Home improvement,Mortgage,0
80,2023-04-05,39,Female,Married,1.0,Lehre/AHS,Employed,52788.17,679,19582.79,48,7.58,Home improvement,Rent,0
81,2025-01-27,23,Female,Married,0.0,Universität/FH,Student,351.95,595,16355.59,36,9.89,Car,Rent,0
82,2024-06-11,26,Female,Married,1.0,Universität/FH,Unemployed,8711.43,565,21955.87,60,13.23,Car,Mortgage,1
83,2023-10-13,59,Female,Married,0.0,Lehre/AHS,Retired,20357.07,657,11986.92,48,6.03,Furniture/Appliances,Rent,0
84,2023-02-28,26,Female,Single,0.0,Lehre/AHS,Employed,40277.83,691,8275.06,60,7.17,Home improvement,Mortgage,0
85,2023-10-02,31,Male,Single,0.0,Lehre/AHS,Employed,30094.35,616,8933.36,24,9.29,Other,Rent,0
86,2023-10-10,42,Female,Single,0.0,Lehre/AHS,Employed,29147.3,644,18836.06,48,7.96,Car,Rent,0
87,2024-10-02,50,Female,Married,0.0,Universität/FH,Part-time,20753.75,727,18211.42,36,5.36,Car,Mortgage,0
88,2024-06-21,19,Male,Single,0.0,Lehre/AHS,Student,4718.25,695,14009.48,48,8.42,Other,Rent,0
89,2025-02-17,39,Female,Married,1.0,Lehre/AHS,Self-employed,29055.5,598,21167.58,72,11.27,Home improvement,Mortgage,0
90,2024-02-21,35,Male,Single,0.0,Lehre/AHS,Employed,45220.64,662,22033.37,36,6.04,Car,Mortgage,0
91,2023-04-07,23,Male,Single,0.0,Lehre/AHS,Student,5728.35,699,11794.68,36,7.56,Other,Rent,0
92,2024-09-23,21,Male,Married,0.0,Universität/FH,Student,2580.31,618,6313.37,48,10.46,Furniture/Appliances,Rent,0
93,2024-10-22,63,Male,Married,0.0,Lehre/AHS,Employed,49722.41,669,17313.7,60,6.97,Home improvement,Rent,0
94,2024-04-25,32,Female,Married,1.0,Lehre/AHS,Employed,40966.13,723,3574.15,36,4.83,Other,Mortgage,0
95,2024-10-28,25,Female,Married,1.0,Lehre/AHS,Unemployed,4938.96,699,32392.71,36,5.32,Car,Rent,0
96,2024-03-08,38,Male,Married,1.0,Lehre/AHS,Unemployed,11832.55,699,24451.86,48,9.01,Home improvement,Mortgage,0
97,2024-03-29,60,Female,Single,0.0,Lehre/AHS,Retired,17058.43,640,14782.68,48,11.44,Other,Rent,0
98,2024-01-12,28,Female,Married,1.0,Universität/FH,Employed,42205.75,704,17858.36,60,6.13,Home improvement,Rent,0
99,2023-01-25,39,Male,Married,2.0,Lehre/AHS,Self-employed,65930.23,757,12045.91,48,3.82,Other,Rent,0
100,2023-03-30,22,Male,Single,0.0,Universität/FH,Student,5972.97,621,11549.39,48,7.82,Car,Rent,0
101,2023-01-31,45,Female,Married,2.0,Pflichtschule,Employed,26892.88,647,13706.94,36,7.5,Car,Mortgage,0
102,2024-06-20,42,Female,Single,0.0,Universität/FH,Employed,57732.77,755,7062.21,60,3.81,Home improvement,Mortgage,0
103,2023-10-03,45,Female,Single,0.0,Lehre/AHS,Employed,,795,8175.05,48,2.99,Furniture/Appliances,Mortgage,0
104,2024-03-19,32,Male,Married,0.0,Pflichtschule,Employed,41602.36,775,18592.4,36,3.08,Car,Rent,0
105,2025-03-05,31,Female,Divorced,1.0,Lehre/AHS,Part-time,27105.47,663,24056.64,36,6.62,Car,Rent,0
106,2023-07-31,29,Male,Divorced,0.0,Universität/FH,Employed,92456.18,684,5172.26,24,6.88,Other,Rent,0
107,2023-12-21,38,Male,Single,1.0,Pflichtschule,Employed,39797.03,625,15133.07,24,8.27,Other,Mortgage,0
108,2024-10-18,25,Female,Married,,Lehre/AHS,Employed,46413.74,679,15898.1,36,6.99,Car,Rent,0
109,2023-06-28,47,Male,Married,1.0,Universität/FH,Employed,59932.12,639,12074.25,72,8.85,Home improvement,Own,0
110,2023-03-09,90,Male,Single,0.0,Pflichtschule,Retired,30394.37,666,21268.11,48,8.32,Home improvement,Own,0
111,2023-09-18,67,Male,Married,2.0,Lehre/AHS,Employed,68086.86,736,12523.27,48,5.28,Other,Own,0
112,2023-05-08,57,Male,Married,1.0,Lehre/AHS,Employed,55132.47,704,6239.81,60,5.63,Home improvement,Own,1
113,2025-03-20,48,Female,Divorced,1.0,Lehre/AHS,Employed,51048.89,598,15320.3,36,10.18,Other,Mortgage,0
114,2024-11-26,48,Female,Single,0.0,Lehre/AHS,Employed,31002.42,749,10444.93,36,4.14,Other,Own,0
115,2024-06-18,32,Male,Single,0.0,Pflichtschule,Employed,55088.08,635,1000.0,60,11.1,Home improvement,Mortgage,0
116,2025-02-03,55,Male,Married,0.0,Lehre/AHS,Employed,44027.42,623,15786.59,60,10.72,Car,Mortgage,0
117,2024-11-22,37,Male,Married,0.0,Pflichtschule,Employed,33821.34,598,12132.61,60,11.26,Home improvement,Mortgage,0
118,2023-05-25,42,Female,Divorced,1.0,Lehre/AHS,Employed,35690.36,639,4153.31,48,9.61,Other,Mortgage,0
119,2025-02-20,52,Male,Single,0.0,Lehre/AHS,Employed,57159.29,645,24398.99,48,10.73,Home improvement,Rent,0
120,2024-04-11,35,Female,Married,0.0,Lehre/AHS,Employed,49680.39,625,8126.21,36,8.98,Other,Mortgage,0
121,2024-11-26,33,Male,Married,1.0,Lehre/AHS,Employed,33367.14,551,12300.91,36,15.0,Other,Mortgage,0
122,2025-02-24,82,Male,Single,2.0,Lehre/AHS,Retired,18501.77,671,16446.11,48,7.14,Home improvement,Own,0
123,2023-10-05,22,Female,Married,3.0,Universität/FH,Student,3384.84,640,19940.22,60,9.91,Home improvement,Rent,0
124,2023-03-31,44,Female,Married,1.0,Universität/FH,Employed,50954.5,804,13019.15,36,4.6,Furniture/Appliances,Mortgage,0
125,2023-06-27,66,Male,Single,0.0,Lehre/AHS,Retired,33245.99,710,23378.5,48,4.43,Car,Own,0
126,2024-01-11,47,Female,Single,0.0,Universität/FH,Self-employed,94087.07,655,27198.3,48,7.8,Home improvement,Rent,0
127,2024-12-05,44,Female,Married,1.0,Universität/FH,Part-time,26445.58,604,23511.26,48,9.21,Car,Mortgage,0
128,2025-01-23,30,Female,Married,0.0,Lehre/AHS,Employed,36888.45,665,10657.66,48,7.35,Other,Rent,0
129,2023-01-09,31,Female,Divorced,0.0,Lehre/AHS,Self-employed,44364.17,691,11607.28,36,6.91,Other,Rent,0
130,2024-03-21,57,Female,Single,,Pflichtschule,Employed,76252.12,665,6873.16,48,7.35,Car,Own,0
131,2024-01-03,40,Female,Single,0.0,Lehre/AHS,Employed,112239.88,690,6634.53,48,8.0,Furniture/Appliances,Rent,0
132,2023-06-22,42,Male,Widowed,0.0,Universität/FH,Employed,61167.49,778,7569.25,48,4.2,Furniture/Appliances,Own,0
133,2023-04-07,20,Female,Divorced,1.0,Lehre/AHS,Student,3149.92,611,6876.11,36,10.13,Education,Own,0
134,2023-10-17,25,Male,Single,0.0,Lehre/AHS,Employed,67056.13,595,7923.47,24,11.65,Furniture/Appliances,Rent,0
135,2025-03-31,66,Male,Married,0.0,Pflichtschule,Retired,26270.45,737,21669.38,60,5.11,Car,Own,0
136,2023-10-09,40,Male,Single,0.0,Pflichtschule,Employed,78169.61,702,13384.05,36,4.44,Car,Mortgage,0
137,2024-03-27,54,Male,Single,0.0,Lehre/AHS,Self-employed,92462.26,594,12093.29,48,8.9,Car,Rent,0
138,2024-09-16,20,Female,Single,0.0,Universität/FH,Student,2924.84,638,4084.34,36,9.77,Other,Rent,0
139,2023-11-07,54,Female,Single,0.0,Lehre/AHS,Unemployed,,598,25998.36,60,9.56,Home improvement,Own,0
140,2025-04-17,69,Female,Married,0.0,Universität/FH,Retired,11308.6,693,3660.51,36,7.73,Other,Own,0
141,2025-04-11,40,Male,Married,1.0,Pflichtschule,Self-employed,78368.45,784,9479.76,72,4.13,Home improvement,Mortgage,0
142,2023-08-04,34,Male,Widowed,,Lehre/AHS,Unemployed,10744.96,638,15736.07,60,8.95,Home improvement,Rent,0
143,2024-03-12,45,Female,Married,1.0,Lehre/AHS,Employed,32945.76,716,2816.75,36,5.38,Education,Mortgage,0
144,2023-09-25,49,Male,Married,1.0,Universität/FH,Employed,35024.93,599,4255.31,36,10.13,Education,Mortgage,0
145,2023-09-13,38,Female,Married,1.0,Pflichtschule,Part-time,,596,23383.91,60,9.91,Car,Rent,0
146,2023-02-06,61,Female,Widowed,0.0,Lehre/AHS,Employed,24352.84,770,17809.79,48,3.01,Car,Mortgage,0
147,2024-05-29,48,Female,Married,2.0,Lehre/AHS,Part-time,24041.72,664,28417.43,36,5.85,Car,Mortgage,0
148,2024-03-14,64,Female,Married,0.0,Universität/FH,Employed,57301.33,734,1507.22,24,5.84,Other,Rent,0
149,2023-02-16,54,Female,Divorced,0.0,Pflichtschule,Employed,51704.44,743,5308.79,12,4.45,Education,Mortgage,0
150,2023-09-08,26,Male,Single,1.0,Pflichtschule,Employed,45366.47,644,17811.11,60,9.9,Car,Rent,0
151,2025-03-05,35,Female,Married,0.0,Lehre/AHS,Employed,27544.42,713,19955.33,36,5.2,Car,Mortgage,0
152,2023-07-12,31,Male,Divorced,0.0,Lehre/AHS,Employed,63878.89,723,6412.65,72,5.33,Home improvement,Mortgage,0
153,2023-04-26,81,Male,Widowed,0.0,Lehre/AHS,Retired,35778.43,632,10936.65,60,9.37,Home improvement,Own,0
154,2024-03-06,46,Male,Single,0.0,Universität/FH,Employed,42566.84,743,20523.86,60,5.23,Home improvement,Mortgage,0
155,2025-04-28,47,Female,Married,0.0,Lehre/AHS,Self-employed,56129.83,762,8652.99,36,4.97,Other,Rent,0
156,2023-07-18,31,Male,Married,0.0,Universität/FH,Part-time,48959.38,607,3860.54,12,8.98,Education,Mortgage,0
157,2024-08-13,30,Male,Single,0.0,Lehre/AHS,Employed,58564.49,701,30400.25,48,4.4,Car,Mortgage,0
158,2024-10-22,49,Male,Married,1.0,Lehre/AHS,Employed,45269.07,663,20245.5,36,6.37,Car,Own,0
159,2023-07-10,36,Female,Single,0.0,Universität/FH,Employed,61398.16,758,23066.72,60,3.33,Car,Mortgage,0
160,2024-10-02,29,Female,Single,0.0,Lehre/AHS,Employed,32948.14,598,23820.72,48,9.27,Car,Own,0
161,2023-11-09,55,Female,Married,0.0,Lehre/AHS,Employed,27077.79,844,5858.48,12,4.51,Education,Mortgage,0
162,2024-06-18,19,Female,Married,2.0,Lehre/AHS,Student,3493.75,626,9471.79,48,8.98,Home improvement,Rent,0
163,2024-06-18,27,Male,Married,,Lehre/AHS,Unemployed,8869.33,689,16394.38,60,7.43,Home improvement,Rent,0
164,2024-04-09,43,Male,Married,1.0,Pflichtschule,Employed,46560.37,745,10099.22,60,5.12,Home improvement,Own,0
165,2023-03-17,27,Female,Single,0.0,Lehre/AHS,Employed,34248.82,661,21857.84,60,5.59,Car,Rent,0
166,2025-01-01,90,Male,Single,0.0,Lehre/AHS,Other,16857.18,670,19178.8,36,6.79,Car,Own,0
167,2023-10-06,34,Male,Single,0.0,Lehre/AHS,Self-employed,117189.63,661,8058.83,36,6.83,Education,Own,0
168,2023-05-25,28,Male,Single,,Lehre/AHS,Self-employed,136930.38,651,4292.5,36,6.95,Other,Mortgage,0
169,2023-02-08,28,Female,Married,1.0,Universität/FH,Self-employed,121572.35,702,23592.58,48,3.9,Car,Rent,0
170,2024-05-16,53,Male,Married,1.0,Pflichtschule,Employed,76178.13,683,9841.34,36,6.47,Furniture/Appliances,Mortgage,0
171,2024-08-23,44,Female,Single,3.0,Lehre/AHS,Self-employed,,668,7282.93,24,9.42,Furniture/Appliances,Rent,0
172,2023-01-17,38,Male,Single,0.0,Lehre/AHS,Unemployed,5760.17,639,10190.59,36,9.36,Furniture/Appliances,Rent,1
173,2024-03-21,22,Female,Married,0.0,Pflichtschule,Unemployed,7816.08,663,9256.68,48,7.1,Furniture/Appliances,Rent,0
174,2023-06-27,24,Male,Single,0.0,Lehre/AHS,Part-time,61626.18,635,13335.76,36,9.49,Other,Rent,0
175,2024-06-27,39,Male,Widowed,0.0,Lehre/AHS,Employed,44659.39,655,23017.58,60,6.42,Car,Mortgage,0
176,2023-05-16,64,Male,Married,0.0,Universität/FH,Employed,88365.6,756,15350.84,60,5.53,Home improvement,Rent,0
177,2024-09-06,59,Female,Single,,Universität/FH,Employed,43481.86,682,4807.59,36,7.67,Education,Own,0
178,2023-11-23,22,Male,Single,,Universität/FH,Student,0.0,585,1000.0,48,10.23,Other,Rent,0
179,2025-03-26,42,Female,Married,0.0,Lehre/AHS,Employed,53370.13,688,18926.77,36,8.34,Car,Rent,0
180,2023-04-20,87,Female,Single,0.0,Lehre/AHS,Retired,29773.82,718,20902.0,48,5.59,Home improvement,Mortgage,0
181,2023-10-19,41,Female,Single,2.0,Universität/FH,Employed,41927.11,713,23161.24,60,5.13,Car,Own,0
182,2023-04-04,63,Male,Single,0.0,Lehre/AHS,Retired,36041.25,659,15029.91,36,7.08,Other,Mortgage,0
183,2025-03-17,34,Male,Married,2.0,Lehre/AHS,Employed,29014.41,638,11318.83,24,12.18,Furniture/Appliances,Mortgage,0
184,2025-02-07,80,Male,Married,3.0,Lehre/AHS,Unemployed,5901.74,640,18915.03,60,8.39,Car,Mortgage,0
185,2023-08-17,47,Female,Single,0.0,Lehre/AHS,Employed,,633,13887.27,48,9.6,Furniture/Appliances,Rent,0
186,2024-07-22,73,Female,Married,0.0,Lehre/AHS,Retired,24545.3,693,14272.14,72,8.36,Home improvement,Own,0
187,2024-12-04,49,Female,Married,0.0,Lehre/AHS,Employed,68571.97,715,17530.52,60,4.83,Car,Mortgage,0
188,2024-04-22,37,Female,Married,0.0,Lehre/AHS,Employed,53340.97,748,11666.66,24,4.13,Other,Own,0
189,2024-04-04,76,Male,Single,0.0,Lehre/AHS,Retired,16433.68,670,22418.56,36,5.23,Car,Own,0
190,2023-07-17,26,Male,Married,0.0,Lehre/AHS,Employed,56041.81,617,9809.08,60,10.7,Home improvement,Rent,0
191,2023-03-21,35,Female,Widowed,0.0,Universität/FH,Employed,52632.61,726,13889.44,60,6.38,Home improvement,Own,0
192,2025-02-25,54,Male,Single,0.0,Universität/FH,Employed,26992.26,683,7765.14,24,7.11,Other,Own,0
193,2025-02-27,49,Male,Single,0.0,Lehre/AHS,Employed,51226.68,688,20707.71,60,5.61,Car,Mortgage,0
194,2024-06-18,84,Female,Single,0.0,Pflichtschule,Retired,19160.69,601,10387.58,36,10.85,Furniture/Appliances,Own,0
195,2023-10-18,29,Male,Single,0.0,Lehre/AHS,Employed,41363.12,655,18670.45,60,5.75,Car,Rent,0
196,2023-10-25,46,Female,Married,1.0,Lehre/AHS,Self-employed,,624,12863.57,36,11.4,Other,Rent,0
197,2024-10-01,47,Female,Married,1.0,Pflichtschule,Employed,28522.48,689,13055.76,36,5.51,Car,Rent,0
198,2025-02-25,18,Female,Divorced,0.0,Lehre/AHS,Student,3002.49,613,10669.36,36,10.32,Furniture/Appliances,Mortgage,0
199,2025-02-17,39,Male,Single,0.0,Lehre/AHS,Self-employed,70645.05,667,6639.71,48,7.87,Furniture/Appliances,Own,0
200,2024-11-05,27,Male,Married,3.0,Lehre/AHS,Part-time,40120.61,585,17643.69,36,9.76,Car,Rent,0
201,2024-06-25,26,Female,Married,0.0,Lehre/AHS,Unemployed,,699,22001.7,60,8.99,Car,Rent,0
202,2023-03-14,76,Male,Married,0.0,Lehre/AHS,Retired,13915.91,651,22264.51,36,7.53,Car,Own,0
203,2023-05-09,47,Male,Married,1.0,Lehre/AHS,Self-employed,59699.01,699,9438.46,36,8.55,Other,Mortgage,0
204,2025-02-26,54,Male,Single,0.0,Lehre/AHS,Employed,47055.94,631,8778.41,60,9.77,Home improvement,Mortgage,0
205,2024-05-28,73,Male,Married,1.0,Lehre/AHS,Retired,,600,7602.16,36,11.84,Other,Own,0
206,2023-01-11,40,Male,Married,0.0,Pflichtschule,Employed,61069.14,664,20476.21,48,6.33,Car,Mortgage,0
207,2023-03-27,63,Female,Married,1.0,Lehre/AHS,Retired,21769.48,654,22449.21,60,7.28,Car,Rent,0
208,2024-07-29,39,Male,Married,1.0,Lehre/AHS,Self-employed,45525.68,680,5885.25,48,8.12,Other,Rent,0
209,2023-01-05,64,Male,Single,0.0,Lehre/AHS,Employed,33960.92,671,6079.57,48,8.25,Furniture/Appliances,Mortgage,0
210,2023-05-08,28,Female,Single,0.0,Lehre/AHS,Employed,51958.21,650,6525.89,36,8.51,Education,Rent,0
211,2024-04-17,89,Female,Divorced,0.0,Lehre/AHS,Retired,20859.74,601,9583.86,48,12.33,Other,Own,1
212,2024-09-06,35,Male,Married,0.0,Pflichtschule,Employed,50608.64,690,10732.49,36,7.95,Other,Mortgage,0
213,2024-07-08,35,Male,Divorced,0.0,Lehre/AHS,Employed,53763.1,647,6927.79,48,8.92,Car,Rent,0
214,2023-06-23,53,Female,Single,,Lehre/AHS,Employed,46085.83,736,18525.44,36,4.6,Car,Own,0
215,2024-09-20,39,Female,Married,1.0,Pflichtschule,Employed,23204.4,656,24266.35,36,6.0,Car,Mortgage,0
216,2023-07-07,53,Female,Married,0.0,Pflichtschule,Employed,57170.57,722,6920.63,24,6.16,Other,Own,0
217,2023-10-10,42,Female,Divorced,,Lehre/AHS,Employed,31716.14,664,18405.68,60,8.01,Home improvement,Mortgage,0
218,2024-10-14,49,Male,Single,0.0,Lehre/AHS,Employed,49561.82,686,6538.79,60,6.84,Home improvement,Rent,0
219,2024-07-02,27,Female,Single,0.0,Lehre/AHS,Employed,66896.59,644,2186.07,24,10.59,Other,Own,0
220,2025-01-14,19,Male,Married,,Lehre/AHS,Employed,96963.94,613,9253.45,48,9.68,Furniture/Appliances,Own,0
